calibration_version,session_id,sample_index,target_id,target_key_id,target_label,target_screen_x,target_screen_y,timestamp_ms,face_detected,blink,left_eye_h,left_eye_v,right_eye_h,right_eye_v,avg_h,avg_v,eye_box_w,eye_box_h,face_x,face_y,head_stability,confidence,fixation_state,accepted,rejection_reason,quality_score,window_std_h,window_std_v,velocity,stable_duration_ms,pca_uL,pca_vL,pca_uR,pca_vR
6,a28b3f78577e,354,T08,r02c04:v,row2_center,639.0,305.0,1780562625068,True,False,0.45468641843386326,0.14269397332778694,0.6015425274689528,0.0,0.528114472951408,0.07134698666389347,0.0508989542722702,0.023100078105926514,0.43442313373088837,0.6062864065170288,,1.0,LOCKED_COLLECTING,False,locking,,,,,,-0.04531358156613676,-0.35730602667221306,0.10154252746895277,-0.5004294878867136
6,a28b3f78577e,355,T08,r02c04:v,row2_center,639.0,305.0,1780562625100,True,False,0.454752538675141,0.14671683856952122,0.6014844145651745,0.0038856087175780374,0.5281184766201578,0.07530122364354963,0.05090077221393585,0.023092180490493774,0.43441949784755707,0.6063365340232849,,1.0,LOCKED_COLLECTING,True,,,,,,,-0.045247461324859004,-0.3532831614304788,0.1014844145651745,-0.49611439128242196
6,a28b3f78577e,356,T08,r02c04:v,row2_center,639.0,305.0,1780562625135,True,False,0.45493672781071814,0.14758531592985807,0.6016429031423144,0.005937809652705461,0.5282898154765163,0.07676156279128177,0.05090814828872681,0.023094981908798218,0.43441665172576904,0.606351912021637,,1.0,LOCKED_COLLECTING,True,,,,,,,-0.04506327218928183,-0.3524146840701419,0.10164290314231439,-0.49406219034729454
6,a28b3f78577e,357,T08,r02c04:v,row2_center,639.0,305.0,1780562625168,True,False,0.45531952669399683,0.14897040217115748,0.6018331761186986,0.006709034109240231,0.5285763514063477,0.07783971814019885,0.050921738147735596,0.02309444546699524,0.4344138205051422,0.6063714027404785,,1.0,LOCKED_COLLECTING,True,,,,,,,-0.04468047330600317,-0.3510295978288425,0.10183317611869858,-0.49329096589075977
6,a28b3f78577e,358,T08,r02c04:v,row2_center,639.0,305.0,1780562625202,True,False,0.455529677082826,0.15009015865208364,0.6020163161613729,0.007210498330660897,0.5287729966220994,0.07865032849137227,0.050933703780174255,0.023089051246643066,0.43440911173820496,0.6063876748085022,,1.0,LOCKED_COLLECTING,True,,,,,,,-0.044470322917174024,-0.34990984134791636,0.10201631616137287,-0.4927895016693391
6,a28b3f78577e,359,T08,r02c04:v,row2_center,639.0,305.0,1780562625238,True,False,0.45568478661944717,0.1503052656384456,0.6020727446151624,0.007940843291408872,0.5288787656173047,0.07912305446492723,0.050940826535224915,0.023091048002243042,0.4344063401222229,0.6063937544822693,,1.0,LOCKED_COLLECTING,True,,,,,,,-0.04431521338055283,-0.3496947343615544,0.10207274461516241,-0.49205915670859113
6,a28b3f78577e,360,T08,r02c04:v,row2_center,639.0,305.0,1780562625271,True,False,0.45568761283796977,0.15059204911996682,0.6016840573426495,0.008156958109927337,0.5286858350903096,0.07937450361494708,0.05094689130783081,0.0230863094329834,0.4343915730714798,0.606399267911911,,1.0,LOCKED_COLLECTING,True,,,,,,,-0.04431238716203023,-0.3494079508800332,0.10168405734264953,-0.49184304189007266
6,a28b3f78577e,361,T08,r02c04:v,row2_center,639.0,305.0,1780562625304,True,False,0.45574525303883684,0.15009166540278202,0.6016780219599381,0.008415155300492194,0.5287116374993874,0.0792534103516371,0.05094459652900696,0.023074090480804443,0.4343909025192261,0.6064021289348602,,1.0,LOCKED_COLLECTING,True,,,,,,,-0.04425474696116316,-0.349908334597218,0.10167802195993815,-0.4915848446995078
6,a28b3f78577e,362,T08,r02c04:v,row2_center,639.0,305.0,1780562625337,True,False,0.45554085352116447,0.14888825180719467,0.6016043328209949,0.008382889492743517,0.5285725931710796,0.0786355706499691,0.05094309151172638,0.023045659065246582,0.43439148366451263,0.6063898205757141,,1.0,LOCKED_COLLECTING,True,,,,,,,-0.044459146478835546,-0.35111174819280533,0.10160433282099494,-0.4916171105072565
6,a28b3f78577e,363,T08,r02c04:v,row2_center,639.0,305.0,1780562625372,True,False,0.456037656707038,0.14879164825757463,0.6016056647629706,0.008500524531885434,0.5288216607350043,0.07864608639473003,0.050945475697517395,0.023052096366882324,0.4344048798084259,0.6063918173313141,,1.0,LOCKED_COLLECTING,True,,,,,,,-0.043962343292961975,-0.3512083517424254,0.10160566476297064,-0.49149947546811457
